ID,Slug,Total Share,Visits,Capture Date
2fkFE8rbu,dall-e,0.20792233,3260223,2023-11-19
HMNcP6w7d,data-analysis,0.09962367,1562099,2023-11-19
YyyyMT9XH,chatgpt-classic,0.06822511,1069772,2023-11-19
lN1gKFnvL,creative-writing-coach,0.03368893,528243,2023-11-19
fTA4FQ7wj,hot-mods,0.02693802,422389,2023-11-19
TTTAK9GuS,the-negotiator,0.02013793,315762,2023-11-19
ENhijiiwK,math-mentor,0.01753595,274964,2023-11-19
FdMHL1sNo,cosmic-dream,0.01505425,236051,2023-11-19
DerYxX7rA,coloring-book-hero,0.01411403,221308,2023-11-19
Sug6mXozT,game-time,0.01209697,189681,2023-11-19
gPRWpLspC,sticker-whiz,0.01174165,184110,2023-11-19
alKfVrz9K,canva,0.01229923,192851,2023-11-19
OCOyXYJjW,genz-4-meme,0.01050080,164653,2023-11-19
3VrgJ1GpH,sous-chef,0.00954967,149739,2023-11-19
WKIaLGGem,tech-support-advisor,0.00960978,150682,2023-11-19
n7Rs0IK86,grimoire,0.00862038,135168,2023-11-19
bo0FiWLY7,researchgpt,0.00706795,110826,2023-11-19
2Eo3NxuS7,designergpt,0.00635187,99597,2023-11-19
V2KIUZSj0,ai-pdf,0.00559751,87769,2023-11-19
9PKhaweyb,mr-ranedeer,0.00375538,58885,2023-11-19
QrGDSn90Q,laundry-buddy,0.00321966,50485,2023-11-19
agCdZedbZ,ai-gpt,0.00302834,47484,2023-11-19
0k9rvxdJn,nomadgpt,0.00313220,49113,2023-11-19
hxDOCBQrs,paper-interpreter,0.00291355,45685,2023-11-19
tcmMldCYy,simpsonize-me,0.00292448,45857,2023-11-19
I1XNbsyDK,api-docs,0.00294635,46198,2023-11-19
bZoD0qWT8,the-secret-of-monkey-island-amsterdam,0.00266757,41827,2023-11-19
gFt1ghYJl,logo-creator,0.00289168,45342,2023-11-19
GbLbctpPz,universal-primer,0.00237785,37284,2023-11-19
nPanZDwQ5,suparogodezaina-rogozuo-rujun,0.00226305,35485,2023-11-19
L2HknCZTC,scholarai,0.00223026,34970,2023-11-19
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00192961,30257,2023-11-19
UfFxTDMxq,askyourpdf-research-assistant,0.00186948,29314,2023-11-19
PXlrhc1MV,mocktail-mixologist,0.00173283,27171,2023-11-19
9qWC0oyBd,super-describe,0.00154697,24256,2023-11-19
EBKM6RsBl,gpts-works,0.00147044,23057,2023-11-19
QqvewXqPt,seo-mentor,0.00135565,21257,2023-11-19
m5ZAgJ5jt,market-analyst,0.00183668,28799,2023-11-19
iThwkWDbA,gpt-customizer-file-finder-json-action-creator,0.00131739,20657,2023-11-19
kMKw5tFmB,convertanything,0.00150871,23657,2023-11-19
twUGxmpHv,visual-weather-artist-gpt,0.00133924,20999,2023-11-19
Cw11sym4k,thumbnail-sketcher,0.00126272,19800,2023-11-19
lFgc4fwRf,grok-ai,0.00127365,19971,2023-11-19
pNWGgUYqS,webpilot,0.00169457,26572,2023-11-19
22ZUhrOgu,gpt-shop-keeper,0.00110966,17399,2023-11-19
gbjSvXu6i,gif-pt,0.00110420,17314,2023-11-19
jCYeXl5xh,new-gpt-5,0.00131191,20571,2023-11-19
DpcxPZOvY,si-li-gptbei-gao-xiao,0.00102767,16114,2023-11-19
IZb9C11iR,ying-wen-fan-yi-zhuan-jia,0.00104953,16457,2023-11-19
pTF23RJ6f,autoexpert-dev,0.00101673,15942,2023-11-19
ERKZdxC6D,automation-consultant-by-zapier,0.00111513,17485,2023-11-19
WTUuSzTOj,ai-websites,0.00095661,15000,2023-11-19
yPLAsV2bz,profilereview-com,0.00101127,15856,2023-11-19
8OcWVLenu,calendar-gpt,0.00120806,18942,2023-11-19
uBhKUJJTl,ke-ji-wen-zhang-fan-yi,0.00100034,15685,2023-11-19
vPFqv6NDp,typeframes-video-creation,0.00087462,13714,2023-11-19
0g6ZdEtv6,language-coach,0.00091288,14314,2023-11-19
iWeTcmxdr,xiao-hong-shu-xie-zuo-zhuan-jia,0.00082542,12942,2023-11-19
bjIRYGrAM,lp-wizard,0.00072155,11314,2023-11-19
aSCBrpxum,auto-agent-fladdict,0.00068329,10714,2023-11-19
WIlexDAW5,analyzepaper,0.00073249,11486,2023-11-19
iS3LMW2lB,gpt-builders-assistant,0.00062863,9857,2023-11-19
MUJ3zHjvn,midjourney-prompt-generator,0.00064502,10114,2023-11-19
BfmuJziwz,seobot,0.00066142,10372,2023-11-19
3hxXAJOHO,lun-po-kun,0.00059036,9257,2023-11-19
aIWEfl3zH,hormozigpt,0.00075983,11913,2023-11-19
N9d6Prmjs,ti-shi-jing-ling-prompt-pet,0.00060130,9428,2023-11-19
Lj7wgFVQo,supertools-gpt-finder,0.00058490,9171,2023-11-19
veSrMmasJ,keymate-ai-gpt-beta,0.00058490,9171,2023-11-19
FPubWp6VF,gpt-finder,0.00056850,8914,2023-11-19
kywiqipmR,builder-io-assistant,0.00068876,10800,2023-11-19
eEFZELjV9,girlfriend-emma,0.00056303,8828,2023-11-19
r4ckjls47,agi-zip,0.00056303,8828,2023-11-19
RuhDS8mbd,No Slug,0.00098393,15428,2023-11-19
XE5JkV5gd,gpt-finder,0.00057943,9086,2023-11-19
R7zJ4s4jl,seo-outline-creator,0.00064503,10115,2023-11-19
cGx5me4XG,duo-shou-gpt,0.00052477,8228,2023-11-19
Mc4XM2MQP,No Slug,0.00076529,12000,2023-11-19
0QePjyUon,data-science-interview-mate,0.00051930,8143,2023-11-19
HEChZ7eza,bibigpt-co,0.00051930,8143,2023-11-19
aaNx59p4q,hacktricksgpt,0.00051930,8143,2023-11-19
pvLhTI3h1,viral-hooks-generator,0.00049197,7714,2023-11-19
Hkqnd7mFT,veed-ai-video-generator,0.00081449,12771,2023-11-19
ucpsGCQHZ,professor-synapse,0.00049743,7800,2023-11-19
LrNKhqZfA,there-s-an-api-for-that-the-1-api-finder,0.00045370,7114,2023-11-19
dHRRUFODc,yt-summarizer,0.00045370,7114,2023-11-19
qa5VGNSEr,seo-optimized-blog-writer-and-analyzer,0.00052476,8229,2023-11-19
1xC65osMP,ask-dr-andrew-huberman,0.00056303,8828,2023-11-19
z61XG6t54,logogpt,0.00047010,7371,2023-11-19
btyd1Gl5w,dall-e3-supporter,0.00046464,7285,2023-11-19
Qf60vcWcr,income-stream-surfer-s-seo-content-writer,0.00048650,7628,2023-11-19
