ID,Slug,Total Share,Visits,Capture Date
2fkFE8rbu,dall-e,0.36914178,5784451,2023-12-02
HMNcP6w7d,data-analysis,0.16836231,2638237,2023-12-02
YyyyMT9XH,chatgpt-classic,0.13390250,2098253,2023-12-02
lN1gKFnvL,creative-writing-coach,0.05445657,853335,2023-12-02
fTA4FQ7wj,hot-mods,0.03399293,532669,2023-12-02
TTTAK9GuS,the-negotiator,0.02892076,453189,2023-12-02
ENhijiiwK,math-mentor,0.02509544,393247,2023-12-02
FdMHL1sNo,cosmic-dream,0.02218798,347685,2023-12-02
DerYxX7rA,coloring-book-hero,0.01834671,287493,2023-12-02
alKfVrz9K,canva,0.01875528,293894,2023-12-02
WKIaLGGem,tech-support-advisor,0.01600165,250746,2023-12-02
Sug6mXozT,game-time,0.01568864,245843,2023-12-02
n7Rs0IK86,grimoire,0.01591146,249333,2023-12-02
bo0FiWLY7,researchgpt,0.01658527,259890,2023-12-02
gPRWpLspC,sticker-whiz,0.01464873,229546,2023-12-02
OCOyXYJjW,genz-4-meme,0.01302522,204106,2023-12-02
3VrgJ1GpH,sous-chef,0.01298277,203441,2023-12-02
V2KIUZSj0,ai-pdf,0.01309950,205269,2023-12-02
jCYeXl5xh,new-gpt-5,0.01004349,157381,2023-12-02
2Eo3NxuS7,designergpt,0.00914683,143332,2023-12-02
9PKhaweyb,mr-ranedeer,0.00875422,137179,2023-12-02
UfFxTDMxq,askyourpdf-research-assistant,0.00759761,119054,2023-12-02
QrGDSn90Q,laundry-buddy,0.00413836,64849,2023-12-02
agCdZedbZ,ai-gpt,0.00385716,60442,2023-12-02
gFt1ghYJl,logo-creator,0.00482278,75573,2023-12-02
L2HknCZTC,scholarai,0.00402694,63102,2023-12-02
hxDOCBQrs,paper-interpreter,0.00375636,58862,2023-12-02
bZoD0qWT8,the-secret-of-monkey-island-amsterdam,0.00384655,60275,2023-12-02
GbLbctpPz,universal-primer,0.00339028,53126,2023-12-02
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00325233,50964,2023-12-02
nPanZDwQ5,suparogodezaina-rogozuo-rujun,0.00324172,50798,2023-12-02
I1XNbsyDK,api-docs,0.00367146,57532,2023-12-02
tcmMldCYy,simpsonize-me,0.00345395,54124,2023-12-02
NgAcklHd8,researchgpt-official,0.00344864,54039,2023-12-02
0k9rvxdJn,nomadgpt,0.00317806,49800,2023-12-02
EBKM6RsBl,gpts-works,0.00281196,44063,2023-12-02
PXlrhc1MV,mocktail-mixologist,0.00250423,39243,2023-12-02
kMKw5tFmB,convertanything,0.00271114,42485,2023-12-02
m5ZAgJ5jt,market-analyst,0.00275361,43149,2023-12-02
9qWC0oyBd,super-describe,0.00231324,36249,2023-12-02
pNWGgUYqS,webpilot,0.00249893,39161,2023-12-02
lFgc4fwRf,grok-ai,0.00209571,32840,2023-12-02
kywiqipmR,builder-io-assistant,0.00215938,33837,2023-12-02
9YeZz6m6k,math-solver,0.00236099,36996,2023-12-02
iThwkWDbA,gpt-customizer-file-finder-json-action-creator,0.00176145,27602,2023-12-02
QqvewXqPt,seo-mentor,0.00178799,28018,2023-12-02
pTF23RJ6f,autoexpert-dev,0.00160759,25191,2023-12-02
22ZUhrOgu,gpt-shop-keeper,0.00159699,25024,2023-12-02
gbjSvXu6i,gif-pt,0.00150678,23612,2023-12-02
uBhKUJJTl,ke-ji-wen-zhang-fan-yi,0.00169249,26520,2023-12-02
