ID,Slug,Total Share,Visits,Capture Date
2fkFE8rbu,dall-e,0.33379710,5217247,2023-11-29
HMNcP6w7d,data-analysis,0.15454166,2415486,2023-11-29
YyyyMT9XH,chatgpt-classic,0.11876235,1856254,2023-11-29
lN1gKFnvL,creative-writing-coach,0.04964729,775987,2023-11-29
fTA4FQ7wj,hot-mods,0.03281062,512830,2023-11-29
TTTAK9GuS,the-negotiator,0.02730200,426729,2023-11-29
ENhijiiwK,math-mentor,0.02364209,369527,2023-11-29
FdMHL1sNo,cosmic-dream,0.02063592,322541,2023-11-29
DerYxX7rA,coloring-book-hero,0.01760832,275220,2023-11-29
alKfVrz9K,canva,0.01761370,275302,2023-11-29
WKIaLGGem,tech-support-advisor,0.01510586,236105,2023-11-29
Sug6mXozT,game-time,0.01507905,235686,2023-11-29
gPRWpLspC,sticker-whiz,0.01413059,220862,2023-11-29
n7Rs0IK86,grimoire,0.01352506,211397,2023-11-29
bo0FiWLY7,researchgpt,0.01452713,227059,2023-11-29
OCOyXYJjW,genz-4-meme,0.01264626,197661,2023-11-29
3VrgJ1GpH,sous-chef,0.01233546,192803,2023-11-29
V2KIUZSj0,ai-pdf,0.01129590,176555,2023-11-29
2Eo3NxuS7,designergpt,0.00870769,136101,2023-11-29
jCYeXl5xh,new-gpt-5,0.00860052,134427,2023-11-29
9PKhaweyb,mr-ranedeer,0.00764670,119517,2023-11-29
UfFxTDMxq,askyourpdf-research-assistant,0.00668217,104442,2023-11-29
QrGDSn90Q,laundry-buddy,0.00404037,63152,2023-11-29
agCdZedbZ,ai-gpt,0.00368135,57539,2023-11-29
gFt1ghYJl,logo-creator,0.00452800,70773,2023-11-29
hxDOCBQrs,paper-interpreter,0.00363312,56785,2023-11-29
bZoD0qWT8,the-secret-of-monkey-island-amsterdam,0.00371351,58041,2023-11-29
GbLbctpPz,universal-primer,0.00333304,52095,2023-11-29
L2HknCZTC,scholarai,0.00367598,57456,2023-11-29
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00317764,49666,2023-11-29
tcmMldCYy,simpsonize-me,0.00339198,53017,2023-11-29
I1XNbsyDK,api-docs,0.00361169,56451,2023-11-29
0k9rvxdJn,nomadgpt,0.00319908,50001,2023-11-29
nPanZDwQ5,suparogodezaina-rogozuo-rujun,0.00295794,46232,2023-11-29
NgAcklHd8,researchgpt-official,0.00316157,49414,2023-11-29
EBKM6RsBl,gpts-works,0.00266321,41626,2023-11-29
PXlrhc1MV,mocktail-mixologist,0.00238991,37354,2023-11-29
m5ZAgJ5jt,market-analyst,0.00274360,42882,2023-11-29
kMKw5tFmB,convertanything,0.00250245,39114,2023-11-29
9qWC0oyBd,super-describe,0.00211664,33084,2023-11-29
lFgc4fwRf,grok-ai,0.00195053,30486,2023-11-29
kywiqipmR,builder-io-assistant,0.00199876,31241,2023-11-29
pNWGgUYqS,webpilot,0.00228809,35763,2023-11-29
iThwkWDbA,gpt-customizer-file-finder-json-action-creator,0.00174154,27221,2023-11-29
