ID,Slug,Total Share,Visits,Capture Date
2fkFE8rbu,dall-e,0.39553064,6221696,2023-12-04
HMNcP6w7d,data-analysis,0.17914551,2817958,2023-12-04
YyyyMT9XH,chatgpt-classic,0.14353951,2257877,2023-12-04
lN1gKFnvL,creative-writing-coach,0.05708593,897963,2023-12-04
fTA4FQ7wj,hot-mods,0.03478656,547194,2023-12-04
TTTAK9GuS,the-negotiator,0.02982763,469188,2023-12-04
ENhijiiwK,math-mentor,0.02642298,415633,2023-12-04
FdMHL1sNo,cosmic-dream,0.02318752,364741,2023-12-04
DerYxX7rA,coloring-book-hero,0.01869909,294136,2023-12-04
alKfVrz9K,canva,0.01927535,303200,2023-12-04
WKIaLGGem,tech-support-advisor,0.01685402,265113,2023-12-04
n7Rs0IK86,grimoire,0.01702849,267859,2023-12-04
bo0FiWLY7,researchgpt,0.01799596,283074,2023-12-04
Sug6mXozT,game-time,0.01609803,253223,2023-12-04
gPRWpLspC,sticker-whiz,0.01491909,234677,2023-12-04
V2KIUZSj0,ai-pdf,0.01429527,224864,2023-12-04
3VrgJ1GpH,sous-chef,0.01340181,210810,2023-12-04
OCOyXYJjW,genz-4-meme,0.01346526,211809,2023-12-04
jCYeXl5xh,new-gpt-5,0.01118668,175965,2023-12-04
2Eo3NxuS7,designergpt,0.00936805,147359,2023-12-04
UfFxTDMxq,askyourpdf-research-assistant,0.00833715,131143,2023-12-04
9PKhaweyb,mr-ranedeer,0.00936276,147276,2023-12-04
QrGDSn90Q,laundry-buddy,0.00424523,66778,2023-12-04
agCdZedbZ,ai-gpt,0.00397561,62536,2023-12-04
gFt1ghYJl,logo-creator,0.00501710,78920,2023-12-04
L2HknCZTC,scholarai,0.00422409,66445,2023-12-04
hxDOCBQrs,paper-interpreter,0.00384872,60541,2023-12-04
bZoD0qWT8,the-secret-of-monkey-island-amsterdam,0.00386988,60872,2023-12-04
GbLbctpPz,universal-primer,0.00345751,54386,2023-12-04
NgAcklHd8,researchgpt-official,0.00385930,60705,2023-12-04
nPanZDwQ5,suparogodezaina-rogozuo-rujun,0.00339407,53389,2023-12-04
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00333591,52473,2023-12-04
