ID,Slug,Total Share,Visits,Capture Date
2fkFE8rbu,dall-e,0.15224593,2376558,2023-11-15
HMNcP6w7d,data-analysis,0.07416007,1157638,2023-11-15
YyyyMT9XH,chatgpt-classic,0.04866445,759652,2023-11-15
lN1gKFnvL,creative-writing-coach,0.02653222,414169,2023-11-15
fTA4FQ7wj,hot-mods,0.02274977,355124,2023-11-15
TTTAK9GuS,the-negotiator,0.01675079,261479,2023-11-15
ENhijiiwK,math-mentor,0.01383403,215949,2023-11-15
FdMHL1sNo,cosmic-dream,0.01227364,191592,2023-11-15
DerYxX7rA,coloring-book-hero,0.01184908,184963,2023-11-15
gPRWpLspC,sticker-whiz,0.01036587,161811,2023-11-15
Sug6mXozT,game-time,0.01020046,159230,2023-11-15
OCOyXYJjW,genz-4-meme,0.00894884,139690,2023-11-15
alKfVrz9K,canva,0.00915836,142962,2023-11-15
3VrgJ1GpH,sous-chef,0.00785160,122562,2023-11-15
WKIaLGGem,tech-support-advisor,0.00739396,115421,2023-11-15
n7Rs0IK86,grimoire,0.00632979,98808,2023-11-15
2Eo3NxuS7,designergpt,0.00469772,73330,2023-11-15
0k9rvxdJn,nomadgpt,0.00297744,46476,2023-11-15
V2KIUZSj0,ai-pdf,0.00271828,42432,2023-11-15
QrGDSn90Q,laundry-buddy,0.00263006,41055,2023-11-15
hxDOCBQrs,paper-interpreter,0.00228821,35719,2023-11-15
9PKhaweyb,mr-ranedeer,0.00214486,33481,2023-11-15
nPanZDwQ5,suparogodezaina-rogozuo-rujun,0.00183608,28661,2023-11-15
agCdZedbZ,ai-gpt,0.00179749,28059,2023-11-15
GbLbctpPz,universal-primer,0.00181954,28403,2023-11-15
tcmMldCYy,simpsonize-me,0.00186366,29092,2023-11-15
gFt1ghYJl,logo-creator,0.00177543,27715,2023-11-15
I1XNbsyDK,api-docs,0.00158796,24788,2023-11-15
L2HknCZTC,scholarai,0.00147768,23066,2023-11-15
PXlrhc1MV,mocktail-mixologist,0.00127919,19968,2023-11-15
twUGxmpHv,visual-weather-artist-gpt,0.00126816,19795,2023-11-15
Cw11sym4k,thumbnail-sketcher,0.00118546,18505,2023-11-15
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00111929,17472,2023-11-15
lFgc4fwRf,grok-ai,0.00098145,15320,2023-11-15
DpcxPZOvY,si-li-gptbei-gao-xiao,0.00097042,15148,2023-11-15
pNWGgUYqS,webpilot,0.00129573,20226,2023-11-15
QqvewXqPt,seo-mentor,0.00095388,14890,2023-11-15
bo0FiWLY7,researchgpt,0.00094837,14804,2023-11-15
IZb9C11iR,ying-wen-fan-yi-zhuan-jia,0.00094837,14804,2023-11-15
gbjSvXu6i,gif-pt,0.00087117,13599,2023-11-15
pTF23RJ6f,autoexpert-dev,0.00081604,12738,2023-11-15
8OcWVLenu,calendar-gpt,0.00102005,15923,2023-11-15
22ZUhrOgu,gpt-shop-keeper,0.00074987,11705,2023-11-15
WTUuSzTOj,ai-websites,0.00077744,12135,2023-11-15
