ID,Slug,Total Share,Visits,Capture Date
2fkFE8rbu,dall-e,0.35893875,5620981,2023-12-01
HMNcP6w7d,data-analysis,0.16455641,2576953,2023-12-01
YyyyMT9XH,chatgpt-classic,0.12923689,2023849,2023-12-01
lN1gKFnvL,creative-writing-coach,0.05280093,826862,2023-12-01
fTA4FQ7wj,hot-mods,0.03379174,529178,2023-12-01
TTTAK9GuS,the-negotiator,0.02843658,445316,2023-12-01
ENhijiiwK,math-mentor,0.02464645,385964,2023-12-01
FdMHL1sNo,cosmic-dream,0.02175595,340699,2023-12-01
DerYxX7rA,coloring-book-hero,0.01815215,284261,2023-12-01
alKfVrz9K,canva,0.01860461,291349,2023-12-01
WKIaLGGem,tech-support-advisor,0.01583655,247999,2023-12-01
Sug6mXozT,game-time,0.01550651,242831,2023-12-01
n7Rs0IK86,grimoire,0.01536813,240666,2023-12-01
gPRWpLspC,sticker-whiz,0.01450043,227077,2023-12-01
bo0FiWLY7,researchgpt,0.01590576,249083,2023-12-01
OCOyXYJjW,genz-4-meme,0.01296733,203067,2023-12-01
3VrgJ1GpH,sous-chef,0.01275441,199733,2023-12-01
V2KIUZSj0,ai-pdf,0.01242437,194566,2023-12-01
jCYeXl5xh,new-gpt-5,0.00974148,152551,2023-12-01
2Eo3NxuS7,designergpt,0.00900686,141045,2023-12-01
UfFxTDMxq,askyourpdf-research-assistant,0.00745250,116706,2023-12-01
9PKhaweyb,mr-ranedeer,0.00844793,132294,2023-12-01
QrGDSn90Q,laundry-buddy,0.00412017,64522,2023-12-01
agCdZedbZ,ai-gpt,0.00378481,59270,2023-12-01
gFt1ghYJl,logo-creator,0.00471636,73857,2023-12-01
hxDOCBQrs,paper-interpreter,0.00374222,58603,2023-12-01
L2HknCZTC,scholarai,0.00390722,61185,2023-12-01
bZoD0qWT8,the-secret-of-monkey-island-amsterdam,0.00383803,60103,2023-12-01
GbLbctpPz,universal-primer,0.00337492,52851,2023-12-01
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00325780,51017,2023-12-01
I1XNbsyDK,api-docs,0.00368367,57685,2023-12-01
nPanZDwQ5,suparogodezaina-rogozuo-rujun,0.00315134,49350,2023-12-01
